0C000014AL|20206|5302000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20213|-1102000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20045|606000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20057|0.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20091|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20093|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20094|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20095|3000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20100|19019000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20106|19016000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20108|1708000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20112|19019000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20136|17311000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20145|20000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20159|606000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20177|3000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20309|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20331|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20316|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20346|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20347|0.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20363|381000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20378|1102000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20395|13333000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20418|0.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20419|0.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20424|17291000.000000|2017-09-30|6M|3|GBP|A|0
0C000014AL|20001|2017-09-30|2017-09-30|6M|3|GBP|A|0
0C000014AL|20002|2017-11-24|2017-09-30|6M|3|GBP|A|0
0C000014AL|20004|Quarterly|2017-09-30|6M|3|GBP|A|0
0C000014AL|28005|0|2017-09-30|6M|3|GBP|A|0
0C000014AL|20206|5955000.000000|2017-03-31|12M|3|GBP|A|0
0C000014AL|20213|-2010000.000000|2017-03-31|12M|3|GBP|A|0
0C000014AL|20219|4234000.000000|2017-03-31|12M|3|GBP|A|0
0C000014AL|20045|1066000.000000|2017-03-31|12M|3|GBP|A|0
0C000014AL|20057|2000.000000|2017-03-31|12M|3|GBP|A|0
0C000014AL|20091|55745000.000000|2017-03-31|12M|3|GBP|A|0
0C000014AL|20093|55745000.000000|2017-03-31|12M|3|GBP|A|0
0C000014AL|20094|55745000.000000|2017-03-31|12M|3|GBP|A|0
